,CampusID,InstitutionID,MedianFamilyIncome,DebtNonCompleter,PredominantDegree,State,FirstGen,IndPerc,LoanPerc,MDEarning10,Control,NetPrice
1221,150455,179300,59843.528679999996,9000.0,3,IN,0.181556196,0.0379403794,0.5248,33400.0,2,22350.0
1222,150534,179500,70521.3633,8000.0,3,IN,0.2646420824,0.1,0.6061,40600.0,2,19924.0
1223,150604,179800,68724.88653999999,5500.0,3,IN,0.34375,0.0386740331,0.7755,40800.0,2,20154.0
1225,150668,179900,58774.69768,6700.0,3,IN,0.2931937173,0.29468599030000003,0.7290000000000001,37800.0,2,19360.0
1226,150677,180000,60245.67284,8000.0,3,IN,0.29258241760000003,0.14285714289999998,0.6046,34900.0,2,16138.0
1227,150695,2490800,15760.84355,4750.0,1,IN,0.44943820219999997,0.5858585859000001,0.6457,18000.0,3,9457.0
1228,150710,2490500,10210.30026,4750.0,1,IN,0.5460526316,0.7903225806,0.9809,16200.0,3,16443.0
1229,150756,180100,70860.95897,8750.0,3,IN,0.29887218050000003,,0.5637,41900.0,2,18958.0
1231,150774,726300,56837.26723,7450.0,3,IN,0.2798353909,0.11068702289999999,0.7867,35900.0,2,21430.0
1232,150853,2241700,15234.757459999999,4750.0,1,IN,0.6341463414999999,0.6943005181,0.484,14600.0,3,12450.0
1233,150941,180300,64365.91429,10313.0,3,IN,0.27619047620000003,0.1218181818,0.7783,34400.0,2,18686.0
1234,150987,991700,17962.12899,4750.0,2,IN,0.5661788364,0.7014581606999999,0.4307,29400.0,1,9248.0
1235,151102,182800,40360.80293,8250.0,3,IN,0.42165946060000004,0.29178578239999997,0.3726,35200.0,1,14147.0
1236,151111,181300,41611.45176,11500.0,3,IN,0.41415777439999996,0.3296838049,0.5453,40200.0,1,14340.0
1237,151166,2158400,15267.650230000001,6132.0,2,IN,0.5848656294,0.7904077442,0.8317,23900.0,3,17210.0
1238,151263,180400,47723.2907,8750.5,3,IN,0.3982464236,0.32016806719999996,0.6862,41400.0,2,21944.0
1239,151290,180500,20970.629080000002,9500.0,3,IN,0.5347657416,0.7374412274,0.8336,40800.0,2,22578.0
1240,151306,180800,55345.5608,7516.0,3,IN,0.393454039,0.1970850555,0.6016,34900.0,1,13489.0
1241,151324,180700,40934.97985,8799.0,3,IN,0.4094545455,0.1877178423,0.6189,36000.0,1,12055.0
1242,151333,181400,36388.28784,7860.5,3,IN,0.4816247582,0.44496762799999995,0.4064,34100.0,1,11256.0
1243,151342,181600,35580.10411,9000.0,3,IN,0.4700348432,0.3412065113,0.4312,33400.0,1,11907.0
1244,151351,180900,75489.99922,16660.0,3,IN,0.2358314304,0.0555776496,0.4102,44700.0,1,13795.0
1245,151360,181500,26872.78172,9500.0,3,IN,0.5105605199000001,0.4270944742,0.4864,36200.0,1,13889.0
1246,151379,181700,36502.08685,8305.0,3,IN,0.4489505514,0.3645044452,0.4348,34000.0,1,11552.0
1247,151388,181100,33712.2058,9228.0,3,IN,0.5168179391,0.5064805582999999,0.475,30000.0,1,9380.0
1248,151458,457900,35689.07151,4750.0,2,IN,0.5337361531,0.1726354454,0.943,27300.0,3,15505.0
1249,151467,457901,35689.07151,4750.0,2,IN,0.5337361531,0.1726354454,0.9443,27300.0,3,15443.0
1250,151494,732958,17679.94098,6334.0,2,TN,0.52367531,0.765962788,0.8247,38800.0,3,22947.0
1251,151500,732993,17679.94098,6334.0,2,IN,0.52367531,0.765962788,0.8742,38800.0,3,22931.0
1252,151519,732900,17679.94098,6334.0,2,IN,0.52367531,0.765962788,0.8153,38800.0,3,23233.0
1256,151616,4051311,14933.85861,4867.0,2,IN,0.5262342091,0.7167097806999999,0.7921,27400.0,3,18877.0
1257,151625,4051312,14933.85861,4867.0,2,IN,0.5262342091,0.7167097806999999,0.8184,27400.0,3,18910.0
1258,151652,2345200,13027.23856,6977.0,1,IN,0.5434298441,0.6771217712,0.6601,19400.0,3,13573.0
1259,151661,793800,23568.26265,4750.0,1,IN,0.5419751142,0.3466666667,0.5554,31400.0,3,24894.0
1260,151777,182000,65531.568289999996,5500.0,3,IN,0.37290502789999996,0.0435356201,0.9082,37600.0,2,18362.0
1261,151786,182100,46651.009939999996,9500.0,3,IN,0.36520376179999997,0.47546897549999995,0.7633,42300.0,2,19516.0
1262,151801,182200,43058.624560000004,6250.0,3,IN,0.49266419850000004,0.8049680275,0.7056,46300.0,2,23912.0
1263,151810,2140800,7789.117575,7240.0,3,IN,0.6108007449,0.8567454798,0.9078,21200.0,2,15678.0
1264,151829,2308900,34597.22549,5125.0,1,IN,0.5346534653,0.36842105259999997,0.5439,15200.0,3,11570.0
1266,151874,961300,4557.601171,,1,IN,0.5,0.6842105262999999,0.1269,15400.0,3,10078.0
1267,151944,4051321,14933.85861,4867.0,2,IN,0.5262342091,0.7167097806999999,0.7991,27400.0,3,19165.0
1268,151962,1061800,23181.28026,3666.0,2,IN,,0.6569343066,0.4918,32700.0,2,11254.0
1269,152044,2491000,1713.961613,,1,MI,0.6521739129999999,0.7826086956999999,0.0,14800.0,3,1680.0
1270,152080,184000,117756.6889,5500.0,3,IN,0.0987482615,0.0072628234,0.4281,70100.0,2,28184.0
1271,152099,182400,40373.36065,7160.5,3,IN,0.5057803468,0.4530831099,0.0914,34000.0,2,20905.0
1273,152220,977700,14793.219009999999,3518.0,1,IN,0.6097794823,0.7290996784999999,0.6464,24300.0,3,17558.0
1274,152248,182700,37732.57447,9500.0,3,IN,0.47742170429999997,0.40612903229999997,0.4764,37600.0,1,11592.0
1275,152266,182600,38174.826960000006,6250.0,3,IN,0.47945205479999997,0.3246753247,0.4003,36000.0,1,9245.0
1276,152275,2084800,7870.524845,4750.0,1,IN,0.5659340659000001,0.6992753623000001,0.6139,18100.0,3,15475.0
1277,152309,2339600,10725.5569,,1,IN,0.5696202532,0.6055555556000001,0.1919,14400.0,3,8101.0
1278,152318,183000,95824.94948,8015.5,3,IN,0.1548387097,0.0325814536,0.6063,79200.0,2,32700.0
1279,152327,967302,24277.133830000002,2899.0,1,IN,0.5668202765,0.6192468619,0.6923,14500.0,3,13050.0
1280,152336,183200,53729.992860000006,8250.0,3,IN,0.4084388186,0.309352518,0.9041,39200.0,2,17653.0
